Alewife,318,98
Davis,357,133
Porter Square,393,176
Harvard Square,426,213
Central Square,455,242
Kendall/MIT,489,277
Charles/MGH,530,313
Park Street,559,344
Downtown Crossing,603,373
South Station,636,418
Broadway,664,492
Andrew,660,529
JFK/UMass,663,573
Savin Hill,624,661
Fields Corner,625,680
Shawmut,622,696
Ashmont,627,714
Cedar Grove,623,742
Butler,614,755
Milton,592,756
Central Avenue,572,756
Valley Road,557,759
Capen Street,535,761
Mattapan,515,761
North Quincy,720,676
Wollaston,747,705
Quincy Center,775,727
Quincy Adams,792,752
Braintree,788,789
Oak Grove,623,51
Malden Center,626,78
Wellington,627,98
Sullivan Square,625,128
Community College,627,151
North Station,623,180
Haymarket,623,249
State,628,282
Downtown Crossing,604,376
Chinatown,594,378
New England Medical Center,557,421
Back Bay,482,482
Massachusetts Avenue,470,507
Ruggles,450,535
Roxbury Crossing,424,552
Jackson Square,391,588
Stony Brook,365,615
Green Street,337,641
Forest Hills,311,669
Lechmere,532,194
Science Park,603,222
North Station,616,246
Haymarket,613,282
Government Center,587,309
Park Street,557,340
Boylston,512,376
Arlington,471,381
Copley,436,379
Hynes Convention Center,400,376
Kenmore,359,383
Blandford Street,322,355
Boston University East,306,348
Boston University Central,297,327
Boston University West,281,314
St. Paul Street (1),276,306
Pleasant Street,271,300
Babcock Street,259,294
Packards Corner,244,278
Harvard Avenue,222,267
Griggs Street/Long Avenue,197,274
Allston Street,182,289
Warren Street,169,302
Washington Street,154,313
Sutherland Street,144,326
Chiswick Road,131,342
Chestnut Hill Avenue,120,357
South Street,98,368
Boston College,83,379
St. Marys Street,301,366
Hawes Street,292,357
Kent Street,261,340
St. Paul Street (2),244,353
Coolidge Corner,237,366
Summit Avenue,218,379
Brandon Hall,207,393
Fairbanks,189,408
Washington Square,179,424
Tappan Street,167,436
Dean Road,151,448
Englewood Avenue,131,467
Cleveland Circle,111,475
Fenway,330,401
Longwood,312,416
Brookline Village,296,428
Brookline Hills,286,444
Beaconsfield,271,460
Reservoir,256,474
Chestnut Hill,238,486
Newton Center,230,503
Newton Highlands,200,530
Eliot,186,545
Waban,168,555
Woodland,168,556
Riverside,153,566
Prudential,410,420
Symphony,411,449
Northeastern University,402,465
Museum of Fine Arts,390,476
Longwood Medical Area,376,486
Brigham Circle,363,498
Fenwood Street,354,508
Mission Park,342,522
Riverway,331,534
Back of the Hill,317,545
Heath Street,307,557
Wonderland,879,85
Revere Beach,852,111
Beachmont,829,139
Suffolk Downs,803,164
Orient Heights,784,189
Wood Island,749,213
Airport,729,236
Maverick,707,258
Aquarium,662,306
State,621,333
Government Center,589,307
Bowdoin,567,284
